Date,Time,Element,status
16/11/2016,9:06:06,GT_SP401 VS,IN
16/11/2016,9:09:26,GT_SP401 VS,UIT
16/11/2016,9:09:40,GT_SP401 VS,IN
16/11/2016,9:09:55,GT_SP401 VS,UIT
16/11/2016,9:10:37,GT_SP401 VS,IN
16/11/2016,9:11:02,GT_SP401 VS,UIT
16/11/2016,9:12:07,GT_SP401 VS,IN
16/11/2016,9:12:17,GT_SP401 VS,UIT
16/11/2016,9:12:38,GT_SP401 VS,IN
16/11/2016,9:12:52,GT_SP401 VS,UIT
16/11/2016,11:06:47,GT_SP401 VS,IN
16/11/2016,11:09:07,GT_SP401 VS,UIT
17/11/2016,0:15:55,GT_SP401 VS,IN
17/11/2016,5:41:23,GT_SP401 VS,UIT
19/11/2016,0:24:16,GT_SP401 VS,IN
19/11/2016,9:01:20,GT_SP401 VS,UIT
19/11/2016,22:09:52,GT_SP401 VS,IN
20/11/2016,8:34:25,GT_SP401 VS,UIT
21/11/2016,1:11:38,GT_SP401 VS,IN
21/11/2016,6:31:31,GT_SP401 VS,UIT
23/11/2016,23:10:40,GT_SP401 VS,IN
24/11/2016,6:18:00,GT_SP401 VS,UIT
24/11/2016,23:56:40,GT_SP401 VS,IN
25/11/2016,5:54:05,GT_SP401 VS,UIT
27/11/2016,0:02:58,GT_SP401 VS,IN
27/11/2016,10:17:52,GT_SP401 VS,UIT
27/11/2016,13:56:17,GT_SP401 VS,IN
27/11/2016,17:01:57,GT_SP401 VS,UIT
27/11/2016,23:04:05,GT_SP401 VS,IN
28/11/2016,6:14:23,GT_SP401 VS,UIT
28/11/2016,22:23:16,GT_SP401 VS,IN
29/11/2016,6:09:36,GT_SP401 VS,UIT
30/11/2016,23:10:47,GT_SP401 VS,IN
1/12/2016,6:35:34,GT_SP401 VS,UIT
2/12/2016,1:11:00,GT_SP401 VS,IN
2/12/2016,6:21:39,GT_SP401 VS,UIT
2/12/2016,22:18:47,GT_SP401 VS,IN
3/12/2016,8:04:25,GT_SP401 VS,UIT
3/12/2016,20:11:29,GT_SP401 VS,IN
4/12/2016,10:09:06,GT_SP401 VS,UIT
7/12/2016,2:49:27,GT_SP401 VS,IN
7/12/2016,5:41:32,GT_SP401 VS,UIT
7/12/2016,23:57:37,GT_SP401 VS,IN
8/12/2016,6:09:24,GT_SP401 VS,UIT
8/12/2016,23:47:53,GT_SP401 VS,IN
9/12/2016,5:53:06,GT_SP401 VS,UIT
9/12/2016,21:42:17,GT_SP401 VS,IN
10/12/2016,9:48:38,GT_SP401 VS,UIT
10/12/2016,23:02:43,GT_SP401 VS,IN
11/12/2016,16:49:40,GT_SP401 VS,UIT
12/12/2016,0:02:26,GT_SP401 VS,IN
12/12/2016,6:11:04,GT_SP401 VS,UIT
14/12/2016,1:52:14,GT_SP401 VS,IN
14/12/2016,6:27:57,GT_SP401 VS,UIT
14/12/2016,23:25:18,GT_SP401 VS,IN
15/12/2016,0:00:40,GT_SP401 VS,UIT
