"Element","status","datetime","date","time","datetime10mins","B11"
"MDC_MDC AC Filter 11 VS","IN",2016-10-20 13:50:18,"20/10/2016","13:50:18",2016-10-20 13:50:00,"IN"
"MDC_MDC AC Filter 11 VS","UIT",2016-10-20 13:51:03,"20/10/2016","13:51:03",2016-10-20 13:50:00,"UIT"
"MDC_MDC AC Filter 11 VS","IN",2016-10-20 13:57:46,"20/10/2016","13:57:46",2016-10-20 13:50:00,"IN"
"MDC_MDC AC Filter 11 VS","UIT",2016-10-20 13:58:23,"20/10/2016","13:58:23",2016-10-20 13:50:00,"UIT"
"MDC_MDC AC Filter 11 VS","IN",2016-10-20 13:58:52,"20/10/2016","13:58:52",2016-10-20 13:50:00,"IN"
"MDC_MDC AC Filter 11 VS","UIT",2016-10-20 13:59:14,"20/10/2016","13:59:14",2016-10-20 13:50:00,"UIT"
"MDC_MDC AC Filter 11 VS","IN",2016-10-28 07:06:48,"28/10/2016","7:06:48 ",2016-10-28 07:00:00,"IN"
"MDC_MDC AC Filter 11 VS","UIT",2017-01-10 08:03:06,"10/1/2017 ","8:03:06 ",2017-01-10 08:00:00,"UIT"
"MDC_MDC AC Filter 11 VS","IN",2017-01-10 08:08:11,"10/1/2017 ","8:08:11 ",2017-01-10 08:00:00,"IN"
"MDC_MDC AC Filter 11 VS","IN",2017-01-10 08:42:18,"10/1/2017 ","8:42:18 ",2017-01-10 08:40:00,"IN"
"MDC_MDC AC Filter 11 VS","UIT",2017-01-20 10:00:08,"20/1/2017 ","10:00:08",2017-01-20 10:00:00,"UIT"
"MDC_MDC AC Filter 11 VS","UIT",2017-02-09 17:30:54,"9/2/2017  ","17:30:54",2017-02-09 17:30:00,"UIT"
